Date,Time,Location,Type,Status
2026-07-05,10:39:55,Room 201,Smoke Triggered,Pending
2026-07-05,10:40:00,Room 201,Smoke Triggered,Pending
2026-07-05,10:40:07,Room 201,Smoke Triggered,Pending
2026-07-05,10:40:13,Room 201,Smoke Triggered,Pending
2026-07-05,10:40:26,Room 201,Smoke Triggered,Pending
2026-07-05,10:40:32,Room 201,Smoke Triggered,Pending
2026-07-05,10:40:38,Room 201,Smoke Triggered,Pending
2026-07-05,10:40:44,Room 201,Smoke Triggered,Pending
2026-07-05,10:40:49,Room 201,Smoke Triggered,Pending
2026-07-05,10:40:55,Room 201,Smoke Triggered,Pending
2026-07-05,10:41:01,Room 201,Smoke Triggered,Pending
2026-07-05,10:41:06,Room 201,Smoke Triggered,Pending
2026-07-05,10:41:12,Room 201,Smoke Triggered,Pending
2026-07-05,10:41:20,Room 201,Smoke Triggered,Pending
